Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return,Week_Return,Month_Return,Cumulative_std_Daily_Return,Cumulative_std_Week_Return,Cumulative_std_Month_Return,Indicator_Daily_Return,Indicator_Week_Return,Indicator_Month_Return
0,2010-01-04,26.299999237060547,26.399999618530277,26.059999465942383,26.299999237060547,25.250459671020508,1155600,,,,,,,0,0,0
1,2010-01-05,26.309999465942383,26.3799991607666,25.63999938964844,26.07999992370605,25.03923797607422,1749200,-0.008400176041543002,,,,,,0,0,0
2,2010-01-06,26.0,26.540000915527344,26.0,26.3799991607666,25.327266693115234,1581400,0.011437381342852439,,,0.014027271348683286,,,1,0,0
3,2010-01-07,26.100000381469727,26.65999984741211,25.920000076293945,26.65999984741211,25.596092224121094,1057600,0.01055819355116271,,,0.011208043479021861,,,1,0,0
4,2010-01-08,26.989999771118164,28.200000762939453,26.899999618530277,27.950000762939453,26.834613800048828,3082100,0.04725291787060349,,,0.02323833711673179,,,1,0,0
5,2010-01-11,28.350000381469727,28.81999969482422,27.81999969482422,28.030000686645508,26.911420822143555,1934400,0.0028581627758146,0.0637064794988901,,0.02086957316456845,,,1,0,0
6,2010-01-12,27.51000022888184,27.61000061035156,26.399999618530277,27.5,26.402570724487305,1367200,-0.019089385000978294,0.05301727053945492,,0.022744156209701785,0.00755841214073662,,-1,1,0
7,2010-01-13,27.690000534057617,27.799999237060547,27.25,27.790000915527344,26.68099975585937,1017400,0.010490272026374915,0.05207016122297736,,0.02079454326275319,0.006462199151658424,,1,1,0
8,2010-01-14,27.809999465942383,27.850000381469727,26.799999237060547,26.809999465942383,25.7401065826416,1511400,-0.03590134437112301,0.005610623300691657,,0.02470138077691209,0.025870780623818267,,-1,1,0
9,2010-01-15,26.600000381469727,27.07999992370605,25.920000076293945,26.200000762939453,25.154451370239254,1628200,-0.023015492440900332,-0.06465778701081211,,0.0246102540560489,0.05334764987965138,,-1,-1,0
10,2010-01-18,26.700000762939453,26.709999084472656,26.270000457763672,26.51000022888184,25.45207977294922,453600,0.011762589047849461,-0.055753360738777284,,0.02352058809845577,0.057298015627238734,,1,-1,0
